UniProt_Accession,Gene_Name,GO_Identifier,GO_Term,Protein_Name,Synonyms,Confidence_Level,MC_PMID
Q6PCD5,RFWD3,GO:0090734|GO:0061630|GO:0035861|GO:0016605|GO:0031571|GO:0031052|GO:0036297|GO:0000724|GO:0006974|GO:0097371|GO:0005654|GO:0005634|GO:0002039|GO:0005515|GO:0005737|GO:0046872|GO:0031297|GO:2000001|GO:0010212|GO:0016567,site of DNA damage|ubiquitin protein ligase activity|site of double-strand break|PML body|mitotic G1 DNA damage checkpoint|chromosome breakage|interstrand cross-link repair|double-strand break repair via homologous recombination|cellular response to DNA damage stimulus|MDM2/MDM4 family protein binding|nucleoplasm|nucleus|p53 binding|protein binding|cytoplasm|metal ion binding|replication fork processing|regulation of DNA damage checkpoint|response to ionizing radiation|protein ubiquitination,E3 ubiquitin-protein ligase RFWD3,RNF201,4,
Q6Y7W6,GIGYF2,GO:0035264|GO:0061157|GO:0009791|GO:0007631|GO:0005794|GO:0008344|GO:0043204|GO:0070064|GO:0003723|GO:0005768|GO:0045296|GO:0005829|GO:0017148|GO:0010494|GO:0031571|GO:0021522|GO:0044267|GO:0048009|GO:0005783|GO:0050881|GO:0005515|GO:0048873|GO:0016020|GO:1990635|GO:0016021|GO:0016441|GO:0032991|GO:0050885,multicellular organism growth|mRNA destabilization|post-embryonic development|feeding behavior|Golgi apparatus|adult locomotory behavior|perikaryon|proline-rich region binding|RNA binding|endosome|cadherin binding|cytosol|negative regulation of translation|cytoplasmic stress granule|mitotic G1 DNA damage checkpoint|spinal cord motor neuron differentiation|cellular protein metabolic process|insulin-like growth factor receptor signaling pathway|endoplasmic reticulum|musculoskeletal movement|protein binding|homeostasis of number of cells within a tissue|membrane|proximal dendrite|integral component of membrane|posttranscriptional gene silencing|protein-containing complex|neuromuscular process controlling balance,GRB10-interacting GYF protein 2,KIAA0642|PERQ2|TNRC15,4,
Q14181,POLA2,GO:0003677|GO:0006270|GO:0005658|GO:0006260|GO:0000082|GO:0032201|GO:0005829|GO:0003674|GO:0005654,DNA binding|DNA replication initiation|alpha DNA polymerase:primase complex|DNA replication|G1/S transition of mitotic cell cycle|telomere maintenance via semi-conservative replication|cytosol|molecular_function|nucleoplasm,DNA polymerase alpha subunit B,,4,
O95347,SMC2,GO:0010032|GO:0007076|GO:0000228|GO:0000797|GO:0005730|GO:0000796|GO:0003697|GO:0005654|GO:0000793|GO:0051301|GO:0005524|GO:0005634|GO:0005515|GO:0070062|GO:0005737|GO:0051383|GO:0045132|GO:0005829,meiotic chromosome condensation|mitotic chromosome condensation|nuclear chromosome|condensin core heterodimer|nucleolus|condensin complex|single-stranded DNA binding|nucleoplasm|condensed chromosome|cell division|ATP binding|nucleus|protein binding|extracellular exosome|cytoplasm|kinetochore organization|meiotic chromosome segregation|cytosol,Structural maintenance of chromosomes protein 2,CAPE|SMC2L1|PRO0324,4,
P17252,PRKCA,GO:0034351|GO:0007411|GO:0090330|GO:0045766|GO:0002159|GO:0050796|GO:0045651|GO:0005829|GO:0010613|GO:0035556|GO:0008270|GO:0004672|GO:0004674|GO:0005886|GO:0045931|GO:0005515|GO:0045780|GO:0035866|GO:0070555|GO:0018105|GO:0031666|GO:0018107|GO:0030335|GO:0007077|GO:0097190|GO:0005178|GO:0007155|GO:0043488|GO:0045785|GO:0006468|GO:0005654|GO:0005524|GO:0070062|GO:0001525|GO:0106071|GO:0010595|GO:0030168|GO:0038128|GO:0005783|GO:0004698|GO:0043536|GO:0004697|GO:2000707|GO:0031966|GO:0048471|GO:0035408|GO:0005737|GO:0005739|GO:0070374|GO:0001938|GO:0019899|GO:0035403,negative regulation of glial cell apoptotic process|axon guidance|regulation of platelet aggregation|positive regulation of angiogenesis|desmosome assembly|regulation of insulin secretion|positive regulation of macrophage differentiation|cytosol|positive regulation of cardiac muscle hypertrophy|intracellular signal transduction|zinc ion binding|protein kinase activity|protein serine/threonine kinase activity|plasma membrane|positive regulation of mitotic cell cycle|protein binding|positive regulation of bone resorption|alphav-beta3 integrin-PKCalpha complex|response to interleukin-1|peptidyl-serine phosphorylation|positive regulation of lipopolysaccharide-mediated signaling pathway|peptidyl-threonine phosphorylation|positive regulation of cell migration|mitotic nuclear envelope disassembly|apoptotic signaling pathway|integrin binding|cell adhesion|regulation of mRNA stability|positive regulation of cell adhesion|protein phosphorylation|nucleoplasm|ATP binding|extracellular exosome|angiogenesis|positive regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway|positive regulation of endothelial cell migration|platelet activation|ERBB2 signaling pathway|endoplasmic reticulum|calcium-dependent protein kinase C activity|positive regulation of blood vessel endothelial cell migration|protein kinase C activity|positive regulation of dense core granule biogenesis|mitochondrial membrane|perinuclear region of cytoplasm|histone H3-T6 phosphorylation|cytoplasm|mitochondrion|positive regulation of ERK1 and ERK2 cascade|positive regulation of endothelial cell proliferation|enzyme binding|histone kinase activity (H3-T6 specific),Protein kinase C alpha type,PKCA|PRKACA,1,27741517
Q9BXU7,USP26,GO:0016579|GO:0004843|GO:0005634|GO:0005515|GO:0000082|GO:0004197|GO:0005829|GO:0005654|GO:0006511,protein deubiquitination|thiol-dependent ubiquitin-specific protease activity|nucleus|protein binding|G1/S transition of mitotic cell cycle|cysteine-type endopeptidase activity|cytosol|nucleoplasm|ubiquitin-dependent protein catabolic process,Ubiquitin carboxyl-terminal hydrolase 26,,4,
O75330,HMMR,GO:0005813|GO:0015630|GO:0005515|GO:0016020|GO:0005829|GO:0005540|GO:0005886|GO:0010389|GO:0009986|GO:0030214,centrosome|microtubule cytoskeleton|protein binding|membrane|cytosol|hyaluronic acid binding|plasma membrane|regulation of G2/M transition of mitotic cell cycle|cell surface|hyaluronan catabolic process,Hyaluronan mediated motility receptor,IHABP|RHAMM,4,
Q9Y6E0,STK24,GO:0046777|GO:0048679|GO:0005794|GO:0005730|GO:0006468|GO:0097194|GO:0023014|GO:0005654|GO:0005524|GO:0070062|GO:0045296|GO:0005829|GO:0032147|GO:0007165|GO:0031098|GO:0008631|GO:0004672|GO:0009267|GO:0042542|GO:0004674|GO:0007346|GO:0005634|GO:0005515|GO:0005737|GO:0046872|GO:0016020|GO:0030336,protein autophosphorylation|regulation of axon regeneration|Golgi apparatus|nucleolus|protein phosphorylation|execution phase of apoptosis|signal transduction by protein phosphorylation|nucleoplasm|ATP binding|extracellular exosome|cadherin binding|cytosol|activation of protein kinase activity|signal transduction|stress-activated protein kinase signaling cascade|intrinsic apoptotic signaling pathway in response to oxidative stress|protein kinase activity|cellular response to starvation|response to hydrogen peroxide|protein serine/threonine kinase activity|regulation of mitotic cell cycle|nucleus|protein binding|cytoplasm|metal ion binding|membrane|negative regulation of cell migration,Serine/threonine-protein kinase 24,MST3|STK3,4,
O75312,ZPR1,GO:0008283|GO:0045927|GO:0008380|GO:0033120|GO:0015030|GO:0043025|GO:0005730|GO:0043204|GO:0005654|GO:0021510|GO:0030426|GO:0097504|GO:0071931|GO:2000672|GO:0030424|GO:0008270|GO:0042307|GO:0061564|GO:0007165|GO:0042023|GO:0000226|GO:0006397|GO:1902742|GO:1990261|GO:0005634|GO:0005515|GO:0048471|GO:0001833|GO:0005737|GO:0001834|GO:0010628|GO:0071364|GO:0031641|GO:0030576|GO:0031369|GO:0030971,cell population proliferation|positive regulation of growth|RNA splicing|positive regulation of RNA splicing|Cajal body|neuronal cell body|nucleolus|perikaryon|nucleoplasm|spinal cord development|growth cone|Gemini of coiled bodies|positive regulation of transcription involved in G1/S transition of mitotic cell cycle|negative regulation of motor neuron apoptotic process|axon|zinc ion binding|positive regulation of protein import into nucleus|axon development|signal transduction|DNA endoreduplication|microtubule cytoskeleton organization|mRNA processing|apoptotic process involved in development|pre-mRNA catabolic process|nucleus|protein binding|perinuclear region of cytoplasm|inner cell mass cell proliferation|cytoplasm|trophectodermal cell proliferation|positive regulation of gene expression|cellular response to epidermal growth factor stimulus|regulation of myelination|Cajal body organization|translation initiation factor binding|receptor tyrosine kinase binding,Zinc finger protein ZPR1,ZNF259,4,
P0C263,SBK2,GO:0000165|GO:0005524|GO:0000187|GO:0031098|GO:0005737|GO:0004708|GO:0032147|GO:0004674|GO:0023014|GO:0007346,MAPK cascade|ATP binding|activation of MAPK activity|stress-activated protein kinase signaling cascade|cytoplasm|MAP kinase kinase activity|activation of protein kinase activity|protein serine/threonine kinase activity|signal transduction by protein phosphorylation|regulation of mitotic cell cycle,Serine/threonine-protein kinase SBK2,SGK069,4,
Q9Y620,RAD54B,GO:0003677|GO:0005524|GO:0005634|GO:0003678|GO:0005515|GO:0003724|GO:0007131|GO:0032508|GO:0000724|GO:0015616|GO:0006312,DNA binding|ATP binding|nucleus|DNA helicase activity|protein binding|RNA helicase activity|reciprocal meiotic recombination|DNA duplex unwinding|double-strand break repair via homologous recombination|DNA translocase activity|mitotic recombination,DNA repair and recombination protein RAD54B,,3,
P0C1S8,WEE2,GO:0042327|GO:0018108|GO:1900194|GO:0007093|GO:0007143|GO:0080154|GO:0004672|GO:0060631|GO:0045736|GO:0005654|GO:0000287|GO:0005524|GO:0005634|GO:0004713|GO:0004715|GO:0005737|GO:0035038,positive regulation of phosphorylation|peptidyl-tyrosine phosphorylation|negative regulation of oocyte maturation|mitotic cell cycle checkpoint|female meiotic nuclear division|regulation of fertilization|protein kinase activity|regulation of meiosis I|negative regulation of cyclin-dependent protein serine/threonine kinase activity|nucleoplasm|magnesium ion binding|ATP binding|nucleus|protein tyrosine kinase activity|non-membrane spanning protein tyrosine kinase activity|cytoplasm|female pronucleus assembly,Wee1-like protein kinase 2,WEE1B,3,
Q96DE5,ANAPC16,GO:0051301|GO:1901990|GO:0005680|GO:0031145|GO:0005829|GO:0000777|GO:0000776|GO:0007049|GO:0005654|GO:0006511|GO:0016567,cell division|regulation of mitotic cell cycle phase transition|anaphase-promoting complex|anaphase-promoting complex-dependent catabolic process|cytosol|condensed chromosome kinetochore|kinetochore|cell cycle|nucleoplasm|ubiquitin-dependent protein catabolic process|protein ubiquitination,Anaphase-promoting complex subunit 16,C10orf104|CENP-27,4,
Q99801,NKX3-1,GO:0090734|GO:0014068|GO:0060442|GO:0008584|GO:0000978|GO:0000976|GO:0048754|GO:0051091|GO:0043621|GO:0045892|GO:0045893|GO:0071850|GO:2000836|GO:0005829|GO:0006919|GO:0033574|GO:0071456|GO:2001244|GO:0071899|GO:2001022|GO:0042826|GO:0032880|GO:0045930|GO:0060037|GO:0045931|GO:0000981|GO:0035907|GO:0043280|GO:0005634|GO:0010629|GO:0000790|GO:0005515|GO:0001756|GO:0010628|GO:0050680|GO:0010942|GO:0030331|GO:0007275|GO:0008285|GO:0008284|GO:0043565|GO:0007431|GO:0045944|GO:0060664|GO:0043569|GO:0005654|GO:0007507|GO:0003700|GO:0043491|GO:0051781|GO:0004879|GO:0071356|GO:0030521|GO:0060770|GO:0035690|GO:0030284|GO:0006355|GO:0008134|GO:0097162|GO:0008656|GO:0071383|GO:0001656|GO:0001934|GO:0071347|GO:0030154|GO:2001235,site of DNA damage|positive regulation of phosphatidylinositol 3-kinase signaling|branching involved in prostate gland morphogenesis|male gonad development|RNA polymerase II cis-regulatory region sequence-specific DNA binding|transcription regulatory region sequence-specific DNA binding|branching morphogenesis of an epithelial tube|positive regulation of DNA-binding transcription factor activity|protein self-association|negative regulation of transcription  DNA-templated|positive regulation of transcription  DNA-templated|mitotic cell cycle arrest|positive regulation of androgen secretion|cytosol|activation of cysteine-type endopeptidase activity involved in apoptotic process|response to testosterone|cellular response to hypoxia|positive regulation of intrinsic apoptotic signaling pathway|negative regulation of estrogen receptor binding|positive regulation of response to DNA damage stimulus|histone deacetylase binding|regulation of protein localization|negative regulation of mitotic cell cycle|pharyngeal system development|positive regulation of mitotic cell cycle|DNA-binding transcription factor activity  RNA polymerase II-specific|dorsal aorta development|positive regulation of cysteine-type endopeptidase activity involved in apoptotic process|nucleus|negative regulation of gene expression|nuclear chromatin|protein binding|somitogenesis|positive regulation of gene expression|negative regulation of epithelial cell proliferation|positive regulation of cell death|estrogen receptor binding|multicellular organism development|negative regulation of cell population proliferation|positive regulation of cell population proliferation|sequence-specific DNA binding|salivary gland development|positive regulation of transcription by RNA polymerase II|epithelial cell proliferation involved in salivary gland morphogenesis|negative regulation of insulin-like growth factor receptor signaling pathway|nucleoplasm|heart development|DNA-binding transcription factor activity|protein kinase B signaling|positive regulation of cell division|nuclear receptor activity|cellular response to tumor necrosis factor|androgen receptor signaling pathway|negative regulation of epithelial cell proliferation involved in prostate gland development|cellular response to drug|estrogen receptor activity|regulation of transcription  DNA-templated|transcription factor binding|MADS box domain binding|cysteine-type endopeptidase activator activity involved in apoptotic process|cellular response to steroid hormone stimulus|metanephros development|positive regulation of protein phosphorylation|cellular response to interleukin-1|cell differentiation|positive regulation of apoptotic signaling pathway,Homeobox protein Nkx-3.1,NKX3.1|NKX3A,4,
Q53GT1,KLHL22,GO:0007094|GO:0015630|GO:1904263|GO:0005794|GO:0006513|GO:0043687|GO:0005764|GO:0051301|GO:0005634|GO:0005813|GO:0030307|GO:0043161|GO:0045171|GO:0005515|GO:0071233|GO:0072686|GO:0005737|GO:0010507|GO:0005827|GO:0000070|GO:0005829|GO:0031463|GO:0071889,mitotic spindle assembly checkpoint|microtubule cytoskeleton|positive regulation of TORC1 signaling|Golgi apparatus|protein monoubiquitination|post-translational protein modification|lysosome|cell division|nucleus|centrosome|positive regulation of cell growth|proteasome-mediated ubiquitin-dependent protein catabolic process|intercellular bridge|protein binding|cellular response to leucine|mitotic spindle|cytoplasm|negative regulation of autophagy|polar microtubule|mitotic sister chromatid segregation|cytosol|Cul3-RING ubiquitin ligase complex|14-3-3 protein binding,Kelch-like protein 22,,4,
